Community_Name,Country,Crop_Type,Farm_Size,Tech_Adoption_Index,Drone_Usage,Mobile_Tech,Annual_Yield,Fertilizer_Type,Irrigation,Weather_Station,Annual_Rainfall
Mountain Cultivators Club,South Africa,Barley,39.96,40,Yes,SMS,318.05,Organic,Sprinkler,Yes,1046.21
Prairie Cultivators Club,South Africa,Sorghum,77.62,48,No,SMS,704.85,Organic,Drip,No,921.82
Prairie Agri Society,Nigeria,Wheat,97.46,14,Yes,SMS,439.41,None,Drip,Yes,1072.58
Harvest Farmers Union,Nigeria,Maize,27.84,55,No,SMS,668.23,None,Sprinkler,No,629.73
Valley Farmers Group,Ghana,Sorghum,70.6,53,Yes,Mobile Apps,801.16,None,Sprinkler,No,909.69
Savannah Agri Society,Tanzania,Barley,92.92,30,Yes,SMS,784.9,Organic,Sprinkler,No,872.48
River Growers Coalition,South Africa,Sorghum,68.94,60,No,None,437.78,Inorganic,None,Yes,897.94
Savannah Farmers Union,Nigeria,Rice,68.43,57,No,None,611.11,Organic,Drip,No,534.91
Prairie Agricultural Association,Tanzania,Wheat,23.15,86,Yes,SMS,504.69,Organic,Drip,Yes,621.79
Sunrise Growers Coalition,Kenya,Maize,53.98,59,Yes,None,883.72,Organic,None,No,629.33
River Agri Society,Tanzania,Barley,56.69,52,Yes,None,890.88,Inorganic,Drip,No,881.56
Sunrise Growers Coalition,South Africa,Wheat,70.31,85,Yes,SMS,409.37,Organic,Sprinkler,No,1178.04
Valley Agricultural Association,Ghana,Barley,99.69,60,No,Mobile Apps,182.56,Organic,Drip,Yes,1163.25
Mountain Agri Society,South Africa,Sorghum,4.33,79,Yes,Mobile Apps,250.82,Organic,None,No,581.75
Golden Farmers Union,Nigeria,Barley,7.46,41,Yes,Mobile Apps,430.3,Inorganic,Sprinkler,Yes,643.88
Meadow Agri Society,Nigeria,Barley,8.72,28,No,SMS,607.82,Organic,Drip,Yes,428.85
River Agri Society,Tanzania,Sorghum,74.55,83,No,Mobile Apps,691.11,Inorganic,Sprinkler,Yes,719.05
Savannah Agri Society,South Africa,Sorghum,14.5,91,No,Mobile Apps,398.23,Inorganic,Drip,Yes,1067.74
Mountain Agri Society,Nigeria,Wheat,62.62,26,Yes,None,700.75,None,Sprinkler,Yes,1132.6
Valley Farmers Group,Kenya,Maize,33.14,43,No,Mobile Apps,943.97,None,None,No,589.2
Savannah Cultivators Club,Kenya,Sorghum,46.27,92,No,SMS,686.81,None,None,Yes,612.64
Harvest Farmers Group,Ghana,Wheat,22.35,4,Yes,Mobile Apps,242.71,Inorganic,Drip,No,576.68
Mountain Agri Society,Tanzania,Barley,86.74,51,No,None,621.7,None,Drip,No,680.08
